14.01澪標	OH_OO渋谷源氏	310	340	B	さやか	清か	サヤカ	形状詞-一般			サヤカ	和
14.01澪標	OH_OO渋谷源氏	4210	4230	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
14.01澪標	OH_OO渋谷源氏	4230	4250	I	ぬる	ぬ	ヌ	助動詞	文語助動詞-ヌ	連体形-一般	ヌル	和
14.01澪標	OH_OO渋谷源氏	4250	4260	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	4260	4270	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	4270	4280	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	4280	4300	I	尚侍	尚侍	ナイシノカミ	名詞-普通名詞-一般			ナイシノカミ	混
14.01澪標	OH_OO渋谷源氏	4300	4310	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	4310	4330	I	心細	心細い	ココロボソイ	形容詞-一般	文語形容詞-ク	語幹-一般	ココロボソ	和
14.01澪標	OH_OO渋谷源氏	4330	4340	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
14.01澪標	OH_OO渋谷源氏	4340	4350	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	4350	4360	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
14.01澪標	OH_OO渋谷源氏	4360	4370	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	4370	4390	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
14.01澪標	OH_OO渋谷源氏	4390	4410	I	嘆き	嘆く	ナゲク	動詞-一般	文語四段-カ行	連用形-一般	ナゲキ	和
14.01澪標	OH_OO渋谷源氏	4410	4440	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	4440	4460	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
14.01澪標	OH_OO渋谷源氏	4460	4470	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	4470	4490	I	いと	いと	イト	副詞			イト	和
14.01澪標	OH_OO渋谷源氏	4490	4520	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
14.01澪標	OH_OO渋谷源氏	4520	4530	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	4530	4550	I	思さ	思す	オボス	動詞-一般	文語四段-サ行	未然形-一般	オボサ	和
14.01澪標	OH_OO渋谷源氏	4550	4560	I	れ	れる	レル	助動詞	文語下二段-ラ行	連用形-一般	レ	和
14.01澪標	OH_OO渋谷源氏	4560	4580	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
14.01澪標	OH_OO渋谷源氏	4580	4590	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	4590	4600	B	「	「		補助記号-括弧開				記号
14.01澪標	OH_OO渋谷源氏	4600	4620	I	大臣	大臣	オトド	名詞-普通名詞-一般			オトド	和
14.01澪標	OH_OO渋谷源氏	4620	4640	I	亡せ	失せる	ウセル	動詞-一般	文語下二段-サ行	連用形-一般	ウセ	和
14.01澪標	OH_OO渋谷源氏	4640	4670	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	4670	4680	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	4680	4700	I	大宮	大宮	オオミヤ	名詞-普通名詞-一般			オーミヤ	和
14.01澪標	OH_OO渋谷源氏	4700	4710	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	4710	4740	I	頼もし	頼もしい	タノモシイ	形容詞-一般	文語形容詞-シク	語幹-一般	タノモシ	和
14.01澪標	OH_OO渋谷源氏	4740	4750	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
14.01澪標	OH_OO渋谷源氏	4750	4770	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
14.01澪標	OH_OO渋谷源氏	4770	4790	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
14.01澪標	OH_OO渋谷源氏	4790	4810	I	篤い	篤いる	アツイル	動詞-一般	文語上二段-ヤ行	連用形-一般	アツイ	和
14.01澪標	OH_OO渋谷源氏	4810	4840	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
14.01澪標	OH_OO渋谷源氏	4840	4850	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
14.01澪標	OH_OO渋谷源氏	4850	4860	I	に	に	ニ	助詞-接続助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	4860	4870	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	4870	4880	I	我	我	ワレ	代名詞			ワレ	和
14.01澪標	OH_OO渋谷源氏	4880	4890	I	が	が	ガ	助詞-格助詞			ガ	和
14.01澪標	OH_OO渋谷源氏	4890	4900	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
14.01澪標	OH_OO渋谷源氏	4900	4950	I	残り少なき	残り少ない	ノコリスクナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ノコリスクナキ	和
14.01澪標	OH_OO渋谷源氏	4950	4970	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
14.01澪標	OH_OO渋谷源氏	4970	4990	I	する	為る	スル	動詞-非自立可能	文語サ行変格	連体形-一般	スル	和
14.01澪標	OH_OO渋谷源氏	4990	5000	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	5000	5020	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
14.01澪標	OH_OO渋谷源氏	5020	5030	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	5030	5050	I	いと	いと	イト	副詞			イト	和
14.01澪標	OH_OO渋谷源氏	5050	5100	I	いとほしう	いとおしい	イトオシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	イトーシュー	和
14.01澪標	OH_OO渋谷源氏	5100	5110	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	5110	5150	I	名残なき	名残無い	ナゴリナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ナゴリナキ	和
14.01澪標	OH_OO渋谷源氏	5150	5170	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
14.01澪標	OH_OO渋谷源氏	5170	5180	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	5180	5190	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	5190	5220	I	とまり	止まる	トマル	動詞-一般	文語四段-ラ行	連用形-一般	トマリ	和
14.01澪標	OH_OO渋谷源氏	5220	5250	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
14.01澪標	OH_OO渋谷源氏	5250	5260	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
14.01澪標	OH_OO渋谷源氏	5260	5270	I	と	と	ト	助詞-格助詞			ト	和
14.01澪標	OH_OO渋谷源氏	5270	5280	I	す	為る	スル	動詞-非自立可能	文語サ行変格	終止形-一般	ス	和
14.01澪標	OH_OO渋谷源氏	5280	5300	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
14.01澪標	OH_OO渋谷源氏	5300	5310	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	5310	5320	B	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
14.01澪標	OH_OO渋谷源氏	5320	5340	I	より	より	ヨリ	助詞-格助詞			ヨリ	和
14.01澪標	OH_OO渋谷源氏	5340	5350	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	5350	5360	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
14.01澪標	OH_OO渋谷源氏	5360	5370	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	5370	5380	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	5380	5400	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
14.01澪標	OH_OO渋谷源氏	5400	5430	I	落とし	落とす	オトス	動詞-一般	文語四段-サ行	連用形-一般	オトシ	和
14.01澪標	OH_OO渋谷源氏	5430	5460	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
14.01澪標	OH_OO渋谷源氏	5460	5470	I	れ	り	リ	助動詞	文語助動詞-リ	已然形-一般	レ	和
14.01澪標	OH_OO渋谷源氏	5470	5480	I	ど	ど	ド	助詞-接続助詞			ド	和
14.01澪標	OH_OO渋谷源氏	5480	5490	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	5490	5530	I	みづから	自ら	ミズカラ	名詞-普通名詞-副詞可能			ミズカラ	和
14.01澪標	OH_OO渋谷源氏	5530	5540	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	5540	5570	I	心ざし	志	ココロザシ	名詞-普通名詞-一般			ココロザシ	和
14.01澪標	OH_OO渋谷源氏	5570	5580	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	5580	5620	I	またなき	又無い	マタナイ	形容詞-一般	文語形容詞-ク	連体形-一般	マタナキ	和
14.01澪標	OH_OO渋谷源氏	5620	5650	I	ならひ	習い	ナライ	名詞-普通名詞-一般			ナライ	和
14.01澪標	OH_OO渋谷源氏	5650	5660	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	5660	5670	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	5670	5690	I	ただ	唯	タダ	副詞			タダ	和
14.01澪標	OH_OO渋谷源氏	5690	5700	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	5700	5720	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	5720	5740	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
14.01澪標	OH_OO渋谷源氏	5740	5760	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
14.01澪標	OH_OO渋谷源氏	5760	5770	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	5770	5800	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
14.01澪標	OH_OO渋谷源氏	5800	5810	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	5810	5840	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	連用形-一般	オボエ	和
14.01澪標	OH_OO渋谷源氏	5840	5860	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
14.01澪標	OH_OO渋谷源氏	5860	5870	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	5870	5890	B	立ち	立つ	タツ	動詞-一般	文語四段-タ行	連用形-一般	タチ	和
14.01澪標	OH_OO渋谷源氏	5890	5920	I	まさる	勝る	マサル	動詞-一般	文語四段-ラ行	連体形-一般	マサル	和
14.01澪標	OH_OO渋谷源氏	5920	5930	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
14.01澪標	OH_OO渋谷源氏	5930	5940	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	5940	5960	I	また	又	マタ	副詞			マタ	和
14.01澪標	OH_OO渋谷源氏	5960	5970	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	5970	5990	I	本意	本意	ホンイ	名詞-普通名詞-一般			ホンイ	漢
14.01澪標	OH_OO渋谷源氏	5990	6010	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
14.01澪標	OH_OO渋谷源氏	6010	6020	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	6020	6030	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
14.01澪標	OH_OO渋谷源氏	6030	6060	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
14.01澪標	OH_OO渋谷源氏	6060	6080	I	とも	とも	トモ	助詞-接続助詞			トモ	和
14.01澪標	OH_OO渋谷源氏	6080	6090	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6090	6120	I	おろか	疎か	オロカ	名詞-普通名詞-一般			オロカ	和
14.01澪標	OH_OO渋谷源氏	6120	6140	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
14.01澪標	OH_OO渋谷源氏	6140	6150	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
14.01澪標	OH_OO渋谷源氏	6150	6180	I	心ざし	志	ココロザシ	名詞-普通名詞-一般			ココロザシ	和
14.01澪標	OH_OO渋谷源氏	6180	6190	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	6190	6210	I	しも	しも	シモ	助詞-副助詞			シモ	和
14.01澪標	OH_OO渋谷源氏	6210	6220	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6220	6260	I	なずらは	擬う	ナゾラウ	動詞-一般	文語四段-ハ行	未然形-一般	ナズラワ	和
14.01澪標	OH_OO渋谷源氏	6260	6280	I	ざら	ず	ズ	助動詞	文語助動詞-ズ	未然形-補助	ザラ	和
14.01澪標	OH_OO渋谷源氏	6280	6290	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
14.01澪標	OH_OO渋谷源氏	6290	6300	I	と	と	ト	助詞-格助詞			ト	和
14.01澪標	OH_OO渋谷源氏	6300	6320	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
14.01澪標	OH_OO渋谷源氏	6320	6340	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
14.01澪標	OH_OO渋谷源氏	6340	6360	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
14.01澪標	OH_OO渋谷源氏	6360	6370	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6370	6420	I	心苦しけれ	心苦しい	ココログルシイ	形容詞-一般	文語形容詞-シク	已然形-一般	ココログルシケレ	和
14.01澪標	OH_OO渋谷源氏	6420	6430	I	」	」		補助記号-括弧閉				記号
14.01澪標	OH_OO渋谷源氏	6430	6450	B	とて	とて	トテ	助詞-格助詞			トテ	和
14.01澪標	OH_OO渋谷源氏	6450	6460	I	，	，		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6460	6480	I	うち	打ち	ウチ	接頭辞			ウチ	和
14.01澪標	OH_OO渋谷源氏	6480	6500	I	泣き	泣く	ナク	動詞-一般	文語四段-カ行	連用形-一般	ナキ	和
14.01澪標	OH_OO渋谷源氏	6500	6530	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
14.01澪標	OH_OO渋谷源氏	6530	6540	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	6540	6550	B	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
14.01澪標	OH_OO渋谷源氏	6550	6560	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
14.01澪標	OH_OO渋谷源氏	6560	6570	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6570	6580	I	顔	顔	カオ	名詞-普通名詞-一般			カオ	和
14.01澪標	OH_OO渋谷源氏	6580	6590	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	6590	6610	I	いと	いと	イト	副詞			イト	和
14.01澪標	OH_OO渋谷源氏	6610	6630	I	赤く	赤い	アカイ	形容詞-一般	文語形容詞-ク	連用形-一般	アカク	和
14.01澪標	OH_OO渋谷源氏	6630	6650	I	匂ひ	匂う	ニオウ	動詞-一般	文語四段-ハ行	連用形-一般	ニオイ	和
14.01澪標	OH_OO渋谷源氏	6650	6660	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	6660	6670	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6670	6700	I	こぼる	零れる	コボレル	動詞-一般	文語下二段-ラ行	終止形-一般	コボル	和
14.01澪標	OH_OO渋谷源氏	6700	6730	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
14.01澪標	OH_OO渋谷源氏	6730	6740	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	6740	6750	I	御	御	オオン	接頭辞			オオン	和
14.01澪標	OH_OO渋谷源氏	6750	6770	I	愛敬	愛敬	アイキョウ	名詞-普通名詞-一般			アイギョー	漢
14.01澪標	OH_OO渋谷源氏	6770	6780	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	6780	6790	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	6790	6800	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6800	6810	I	涙	涙	ナミダ	名詞-普通名詞-サ変可能			ナミダ	和
14.01澪標	OH_OO渋谷源氏	6810	6820	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	6820	6850	I	こぼれ	零れる	コボレル	動詞-一般	文語下二段-ラ行	連用形-一般	コボレ	和
14.01澪標	OH_OO渋谷源氏	6850	6870	I	ぬる	ぬ	ヌ	助動詞	文語助動詞-ヌ	連体形-一般	ヌル	和
14.01澪標	OH_OO渋谷源氏	6870	6880	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	6880	6890	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6890	6920	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
14.01澪標	OH_OO渋谷源氏	6920	6930	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	6930	6940	I	罪	罪	ツミ	名詞-普通名詞-一般			ツミ	和
14.01澪標	OH_OO渋谷源氏	6940	6960	I	忘れ	忘れる	ワスレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	ワスレ	和
14.01澪標	OH_OO渋谷源氏	6960	6970	I	て	て	テ	助詞-接続助詞			テ	和
14.01澪標	OH_OO渋谷源氏	6970	6980	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	6980	7010	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
14.01澪標	OH_OO渋谷源氏	7010	7020	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
14.01澪標	OH_OO渋谷源氏	7020	7060	I	らうたし	ろうたい	ロウタイ	形容詞-一般	文語形容詞-ク	終止形-一般	ロータシ	和
14.01澪標	OH_OO渋谷源氏	7060	7070	I	と	と	ト	助詞-格助詞			ト	和
14.01澪標	OH_OO渋谷源氏	7070	7090	I	御覧	御覧	ゴラン	名詞-普通名詞-一般			ゴラン	漢
14.01澪標	OH_OO渋谷源氏	7090	7100	I	ぜ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	ゼ	和
14.01澪標	OH_OO渋谷源氏	7100	7120	I	らる	られる	ラレル	助動詞	文語下二段-ラ行	終止形-一般	ラル	和
14.01澪標	OH_OO渋谷源氏	7120	7130	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	7130	7140	B	「	「		補助記号-括弧開				記号
14.01澪標	OH_OO渋谷源氏	7140	7160	I	など	など	ナド	副詞			ナド	和
14.01澪標	OH_OO渋谷源氏	7160	7170	I	か	か	カ	助詞-係助詞			カ	和
14.01澪標	OH_OO渋谷源氏	7170	7180	I	，	，		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	7180	7200	I	御子	御子	ミコ	名詞-普通名詞-一般			ミコ	和
14.01澪標	OH_OO渋谷源氏	7200	7210	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	7210	7230	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
14.01澪標	OH_OO渋谷源氏	7230	7240	I	持	持つ	モツ	動詞-一般	文語四段-タ行	連用形-促音便	モッ	和
14.01澪標	OH_OO渋谷源氏	7240	7270	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
14.01澪標	OH_OO渋谷源氏	7270	7280	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
14.01澪標	OH_OO渋谷源氏	7280	7310	I	まじき	まじ	マジ	助動詞	文語助動詞-マジ	連体形-一般	マジキ	和
14.01澪標	OH_OO渋谷源氏	7310	7320	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	7320	7360	B	口惜しう	口惜しい	クチオシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	クチオシュー	和
14.01澪標	OH_OO渋谷源氏	7360	7370	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	7370	7390	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
14.01澪標	OH_OO渋谷源氏	7390	7410	I	かな	哉	カナ	助詞-終助詞			カナ	和
14.01澪標	OH_OO渋谷源氏	7410	7420	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	7420	7440	B	契り	契り	チギリ	名詞-普通名詞-一般			チギリ	和
14.01澪標	OH_OO渋谷源氏	7440	7460	I	深き	深い	フカイ	形容詞-一般	文語形容詞-ク	連体形-一般	フカキ	和
14.01澪標	OH_OO渋谷源氏	7460	7470	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
14.01澪標	OH_OO渋谷源氏	7470	7480	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	7480	7500	I	ため	為	タメ	名詞-普通名詞-副詞可能			タメ	和
14.01澪標	OH_OO渋谷源氏	7500	7510	I	に	に	ニ	助詞-格助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	7510	7520	I	は	は	ハ	助詞-係助詞			ワ	和
14.01澪標	OH_OO渋谷源氏	7520	7530	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	7530	7540	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
14.01澪標	OH_OO渋谷源氏	7540	7550	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
14.01澪標	OH_OO渋谷源氏	7550	7570	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
14.01澪標	OH_OO渋谷源氏	7570	7600	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
14.01澪標	OH_OO渋谷源氏	7600	7610	I	て	つ	ツ	助動詞	文語助動詞-ツ	未然形-一般	テ	和
14.01澪標	OH_OO渋谷源氏	7610	7620	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
14.01澪標	OH_OO渋谷源氏	7620	7630	I	と	と	ト	助詞-格助詞			ト	和
14.01澪標	OH_OO渋谷源氏	7630	7650	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
14.01澪標	OH_OO渋谷源氏	7650	7660	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	7660	7670	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	7670	7700	I	口惜し	口惜しい	クチオシイ	形容詞-一般	文語形容詞-シク	語幹-一般	クチオシ	和
14.01澪標	OH_OO渋谷源氏	7700	7710	I	や	や	ヤ	助詞-係助詞			ヤ	和
14.01澪標	OH_OO渋谷源氏	7710	7720	I	。	。		補助記号-句点				記号
14.01澪標	OH_OO渋谷源氏	7720	7740	B	限り	限り	カギリ	名詞-普通名詞-副詞可能			カギリ	和
14.01澪標	OH_OO渋谷源氏	7740	7760	I	あれ	有る	アル	動詞-非自立可能	文語ラ行変格	已然形-一般	アレ	和
14.01澪標	OH_OO渋谷源氏	7760	7770	I	ば	ば	バ	助詞-接続助詞			バ	和
14.01澪標	OH_OO渋谷源氏	7770	7780	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	7780	7810	I	ただ人	徒人	タダビト	名詞-普通名詞-一般			タダビト	和
14.01澪標	OH_OO渋谷源氏	7810	7830	I	にて	にて	ニテ	助詞-格助詞			ニテ	和
14.01澪標	OH_OO渋谷源氏	7830	7840	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
14.01澪標	OH_OO渋谷源氏	7840	7850	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
14.01澪標	OH_OO渋谷源氏	7850	7880	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
14.01澪標	OH_OO渋谷源氏	7880	7890	I	む	む	ム	助動詞	文語助動詞-ム	終止形-一般	ム	和
14.01澪標	OH_OO渋谷源氏	7890	7910	I	かし	かし	カシ	助詞-終助詞			カシ	和
14.01澪標	OH_OO渋谷源氏	7910	7920	I	」	」		補助記号-括弧閉				記号
14.01澪標	OH_OO渋谷源氏	7920	7940	B	など	など	ナド	助詞-副助詞			ナド	和
14.01澪標	OH_OO渋谷源氏	7940	7950	I	，	，		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	7950	7970	I	行く	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
14.01澪標	OH_OO渋谷源氏	7970	7980	I	末	末	スエ	名詞-普通名詞-副詞可能			スエ	和
14.01澪標	OH_OO渋谷源氏	7980	7990	I	の	の	ノ	助詞-格助詞			ノ	和
14.01澪標	OH_OO渋谷源氏	7990	8010	I	こと	事	コト	名詞-普通名詞-一般			コト	和
14.01澪標	OH_OO渋谷源氏	8010	8020	I	を	を	ヲ	助詞-格助詞			オ	和
14.01澪標	OH_OO渋谷源氏	8020	8040	I	さへ	さえ	サエ	助詞-副助詞			サエ	和
14.01澪標	OH_OO渋谷源氏	8040	8100	I	のたまはする	宣わせる	ノタマワセル	動詞-一般	文語下二段-サ行	連体形-一般	ノタマワスル	和
14.01澪標	OH_OO渋谷源氏	8100	8110	I	に	に	ニ	助詞-接続助詞			ニ	和
14.01澪標	OH_OO渋谷源氏	8110	8120	I	、	、		補助記号-読点				記号
14.01澪標	OH_OO渋谷源氏	8120	8140	I	いと	いと	イト	副詞			イト	和
14.01澪標	OH_OO渋谷源氏	8140	8190	I	恥づかしう	恥ずかしい	ハズカシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	ハズカシュー	和
14.01澪標	OH_OO渋谷源氏	8190	8200	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	8200	8230	I	悲しう	悲しい	カナシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	カナシュー	和
14.01澪標	OH_OO渋谷源氏	8230	8240	I	も	も	モ	助詞-係助詞			モ	和
14.01澪標	OH_OO渋谷源氏	8240	8270	I	おぼえ	覚える	オボエル	動詞-一般	文語下二段-ヤ行	連用形-一般	オボエ	和
