04.02夕顔	OH_OO渋谷源氏	210	230	B	さて	扠	サテ	接続詞			サテ	和
04.02夕顔	OH_OO渋谷源氏	4140	4150	I	。	。		補助記号-句点				記号
04.02夕顔	OH_OO渋谷源氏	4150	4160	B	「	「		補助記号-括弧開				記号
04.02夕顔	OH_OO渋谷源氏	4160	4220	I	ものまめやか	物まめやか	モノマメヤカ	形状詞-一般			モノマメヤカ	和
04.02夕顔	OH_OO渋谷源氏	4220	4240	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
04.02夕顔	OH_OO渋谷源氏	4240	4260	I	大人	大人	オトナ	名詞-普通名詞-一般			オトナ	和
04.02夕顔	OH_OO渋谷源氏	4260	4270	I	を	を	ヲ	助詞-格助詞			オ	和
04.02夕顔	OH_OO渋谷源氏	4270	4280	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4280	4300	I	かく	斯く	カク	副詞			カク	和
04.02夕顔	OH_OO渋谷源氏	4300	4320	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
04.02夕顔	OH_OO渋谷源氏	4320	4330	I	も	も	モ	助詞-係助詞			モ	和
04.02夕顔	OH_OO渋谷源氏	4330	4340	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4340	4360	I	げに	実に	ゲニ	副詞			ゲニ	和
04.02夕顔	OH_OO渋谷源氏	4360	4420	I	をこがましく	烏滸がましい	オコガマシイ	形容詞-一般	文語形容詞-シク	連用形-一般	オコガマシク	和
04.02夕顔	OH_OO渋谷源氏	4420	4430	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4430	4490	I	うしろめたき	後ろめたい	ウシロメタイ	形容詞-一般	文語形容詞-ク	連体形-一般	ウシロメタキ	和
04.02夕顔	OH_OO渋谷源氏	4490	4510	I	わざ	技	ワザ	名詞-普通名詞-一般			ワザ	和
04.02夕顔	OH_OO渋谷源氏	4510	4530	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
04.02夕顔	OH_OO渋谷源氏	4530	4540	I	や	や	ヤ	助詞-係助詞			ヤ	和
04.02夕顔	OH_OO渋谷源氏	4540	4550	I	。	。		補助記号-句点				記号
04.02夕顔	OH_OO渋谷源氏	4550	4570	B	げに	実に	ゲニ	副詞			ゲニ	和
04.02夕顔	OH_OO渋谷源氏	4570	4580	I	，	，		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4580	4600	I	これ	此れ	コレ	代名詞			コレ	和
04.02夕顔	OH_OO渋谷源氏	4600	4610	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
04.02夕顔	OH_OO渋谷源氏	4610	4620	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4620	4650	I	なのめ	斜め	ナナメ	名詞-普通名詞-一般			ナノメ	和
04.02夕顔	OH_OO渋谷源氏	4650	4670	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
04.02夕顔	OH_OO渋谷源氏	4670	4680	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
04.02夕顔	OH_OO渋谷源氏	4680	4700	I	片は	片端	カタワ	名詞-普通名詞-一般			カタワ	和
04.02夕顔	OH_OO渋谷源氏	4700	4710	I	な	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-撥音便	ナン	和
04.02夕顔	OH_OO渋谷源氏	4710	4740	I	べかり	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-補助	ベカリ	和
04.02夕顔	OH_OO渋谷源氏	4740	4760	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
04.02夕顔	OH_OO渋谷源氏	4760	4770	I	」	」		補助記号-括弧閉				記号
04.02夕顔	OH_OO渋谷源氏	4770	4780	I	と	と	ト	助詞-格助詞			ト	和
04.02夕顔	OH_OO渋谷源氏	4780	4790	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4790	4810	I	馬頭	馬頭	ウマノカミ	名詞-普通名詞-一般			ムマノカミ	和
04.02夕顔	OH_OO渋谷源氏	4810	4820	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	4820	4840	I	諌め	諫め	イサメ	名詞-普通名詞-一般			イサメ	和
04.02夕顔	OH_OO渋谷源氏	4840	4860	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
04.02夕顔	OH_OO渋谷源氏	4860	4880	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
04.02夕顔	OH_OO渋谷源氏	4880	4890	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	4890	4900	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4900	4950	I	いとほしき	いとおしい	イトオシイ	形容詞-一般	文語形容詞-シク	連体形-一般	イトーシキ	和
04.02夕顔	OH_OO渋谷源氏	4950	4960	I	に	に	ニ	助詞-接続助詞			ニ	和
04.02夕顔	OH_OO渋谷源氏	4960	4970	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	4970	4980	I	「	「		補助記号-括弧開				記号
04.02夕顔	OH_OO渋谷源氏	4980	5020	I	つれなき	つれない	ツレナイ	形容詞-一般	文語形容詞-ク	連体形-一般	ツレナキ	和
04.02夕顔	OH_OO渋谷源氏	5020	5030	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
04.02夕顔	OH_OO渋谷源氏	5030	5040	I	は	は	ハ	助詞-係助詞			ワ	和
04.02夕顔	OH_OO渋谷源氏	5040	5080	I	ねたけれ	妬い	ネタイ	形容詞-一般	文語形容詞-ク	已然形-一般	ネタケレ	和
04.02夕顔	OH_OO渋谷源氏	5080	5090	I	ど	ど	ド	助詞-接続助詞			ド	和
04.02夕顔	OH_OO渋谷源氏	5090	5100	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	5100	5110	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
04.02夕顔	OH_OO渋谷源氏	5110	5120	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	5120	5140	I	ため	為	タメ	名詞-普通名詞-副詞可能			タメ	和
04.02夕顔	OH_OO渋谷源氏	5140	5150	I	は	は	ハ	助詞-係助詞			ワ	和
04.02夕顔	OH_OO渋谷源氏	5150	5160	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	5160	5190	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
04.02夕顔	OH_OO渋谷源氏	5190	5200	I	」	」		補助記号-括弧閉				記号
04.02夕顔	OH_OO渋谷源氏	5200	5210	I	と	と	ト	助詞-格助詞			ト	和
04.02夕顔	OH_OO渋谷源氏	5210	5230	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
04.02夕顔	OH_OO渋谷源氏	5230	5250	I	なさ	成す	ナス	動詞-一般	文語四段-サ行	未然形-一般	ナサ	和
04.02夕顔	OH_OO渋谷源氏	5250	5260	I	る	れる	レル	助動詞	文語下二段-ラ行	終止形-一般	ル	和
04.02夕顔	OH_OO渋谷源氏	5260	5270	I	。	。		補助記号-句点				記号
04.02夕顔	OH_OO渋谷源氏	5270	5280	B	「	「		補助記号-括弧開				記号
04.02夕顔	OH_OO渋谷源氏	5280	5290	I	娘	娘	ムスメ	名詞-普通名詞-一般			ムスメ	和
04.02夕顔	OH_OO渋谷源氏	5290	5310	I	をば	をば	ヲバ	助詞-格助詞			オバ	和
04.02夕顔	OH_OO渋谷源氏	5310	5330	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
04.02夕顔	OH_OO渋谷源氏	5330	5350	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
04.02夕顔	OH_OO渋谷源氏	5350	5360	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
04.02夕顔	OH_OO渋谷源氏	5360	5370	I	に	に	ニ	助詞-格助詞			ニ	和
04.02夕顔	OH_OO渋谷源氏	5370	5390	I	預け	預ける	アズケル	動詞-一般	文語下二段-カ行	連用形-一般	アズケ	和
04.02夕顔	OH_OO渋谷源氏	5390	5400	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	5400	5410	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	5410	5440	I	北の方	北の方	キタノカタ	名詞-普通名詞-一般			キタノカタ	和
04.02夕顔	OH_OO渋谷源氏	5440	5460	I	をば	をば	ヲバ	助詞-格助詞			オバ	和
04.02夕顔	OH_OO渋谷源氏	5460	5470	I	率	率る	イル	動詞-一般	文語上一段-ワ行	連用形-一般	イ	和
04.02夕顔	OH_OO渋谷源氏	5470	5480	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	5480	5500	I	下り	下りる	オリル	動詞-一般	文語上二段-ラ行	連用形-一般	オリ	和
04.02夕顔	OH_OO渋谷源氏	5500	5510	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
04.02夕顔	OH_OO渋谷源氏	5510	5530	I	べし	べし	ベシ	助動詞	文語助動詞-ベシ	終止形-一般	ベシ	和
04.02夕顔	OH_OO渋谷源氏	5530	5540	I	」	」		補助記号-括弧閉				記号
04.02夕顔	OH_OO渋谷源氏	5540	5550	I	と	と	ト	助詞-格助詞			ト	和
04.02夕顔	OH_OO渋谷源氏	5550	5560	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	5560	5580	I	聞き	聞く	キク	動詞-一般	文語四段-カ行	連用形-一般	キキ	和
04.02夕顔	OH_OO渋谷源氏	5580	5610	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
04.02夕顔	OH_OO渋谷源氏	5610	5620	I	に	に	ニ	助詞-接続助詞			ニ	和
04.02夕顔	OH_OO渋谷源氏	5620	5630	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	5630	5650	I	ひと	一	ヒト	名詞-数詞			ヒト	和
04.02夕顔	OH_OO渋谷源氏	5650	5670	I	かた	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
04.02夕顔	OH_OO渋谷源氏	5670	5690	I	なら	なり	ナリ	助動詞	文語助動詞-ナリ-断定	未然形-一般	ナラ	和
04.02夕顔	OH_OO渋谷源氏	5690	5700	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
04.02夕顔	OH_OO渋谷源氏	5700	5770	I	心あわたたしく	心慌ただしい	ココロアワタダシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ココロアワタタシク	和
04.02夕顔	OH_OO渋谷源氏	5770	5780	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	5780	5790	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	5790	5800	I	「	「		補助記号-括弧開				記号
04.02夕顔	OH_OO渋谷源氏	5800	5810	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
04.02夕顔	OH_OO渋谷源氏	5810	5820	I	一	一	ヒト	名詞-数詞			ヒト	和
04.02夕顔	OH_OO渋谷源氏	5820	5830	I	度	度	タビ	名詞-普通名詞-助数詞可能			タビ	和
04.02夕顔	OH_OO渋谷源氏	5830	5840	I	は	は	ハ	助詞-係助詞			ワ	和
04.02夕顔	OH_OO渋谷源氏	5840	5850	I	え	え	エ	副詞			エ	和
04.02夕顔	OH_OO渋谷源氏	5850	5870	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
04.02夕顔	OH_OO渋谷源氏	5870	5900	I	まじき	まじ	マジ	助動詞	文語助動詞-マジ	連体形-一般	マジキ	和
04.02夕顔	OH_OO渋谷源氏	5900	5920	I	こと	事	コト	名詞-普通名詞-一般			コト	和
04.02夕顔	OH_OO渋谷源氏	5920	5930	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
04.02夕顔	OH_OO渋谷源氏	5930	5940	I	や	や	ヤ	助詞-係助詞			ヤ	和
04.02夕顔	OH_OO渋谷源氏	5940	5950	I	」	」		補助記号-括弧閉				記号
04.02夕顔	OH_OO渋谷源氏	5950	5960	I	と	と	ト	助詞-格助詞			ト	和
04.02夕顔	OH_OO渋谷源氏	5960	5970	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	5970	5990	I	小君	小君	コギミ	名詞-普通名詞-一般			コギミ	和
04.02夕顔	OH_OO渋谷源氏	5990	6000	I	を	を	ヲ	助詞-格助詞			オ	和
04.02夕顔	OH_OO渋谷源氏	6000	6030	I	語らひ	語らう	カタラウ	動詞-一般	文語四段-ハ行	連用形-一般	カタライ	和
04.02夕顔	OH_OO渋谷源氏	6030	6060	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
04.02夕顔	OH_OO渋谷源氏	6060	6070	I	ど	ど	ド	助詞-接続助詞			ド	和
04.02夕顔	OH_OO渋谷源氏	6070	6080	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6080	6090	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
04.02夕顔	OH_OO渋谷源氏	6090	6100	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	6100	6110	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
04.02夕顔	OH_OO渋谷源氏	6110	6120	I	を	を	ヲ	助詞-格助詞			オ	和
04.02夕顔	OH_OO渋谷源氏	6120	6140	I	合せ	合わせる	アワセル	動詞-一般	文語下二段-サ行	連用形-一般	アワセ	和
04.02夕顔	OH_OO渋谷源氏	6140	6160	I	たら	たり	タリ	助動詞	文語助動詞-タリ-完了	未然形-一般	タラ	和
04.02夕顔	OH_OO渋谷源氏	6160	6170	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
04.02夕顔	OH_OO渋谷源氏	6170	6190	I	こと	事	コト	名詞-普通名詞-一般			コト	和
04.02夕顔	OH_OO渋谷源氏	6190	6200	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
04.02夕顔	OH_OO渋谷源氏	6200	6210	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	6210	6230	I	だに	だに	ダニ	助詞-副助詞			ダニ	和
04.02夕顔	OH_OO渋谷源氏	6230	6240	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6240	6270	I	軽らか	軽らか	カロラカ	形状詞-一般			カロラカ	和
04.02夕顔	OH_OO渋谷源氏	6270	6280	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
04.02夕顔	OH_OO渋谷源氏	6280	6290	I	え	え	エ	副詞			エ	和
04.02夕顔	OH_OO渋谷源氏	6290	6310	I	しも	しも	シモ	助詞-副助詞			シモ	和
04.02夕顔	OH_OO渋谷源氏	6310	6330	I	紛れ	紛れる	マギレル	動詞-一般	文語下二段-ラ行	連用形-一般	マギレ	和
04.02夕顔	OH_OO渋谷源氏	6330	6360	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
04.02夕顔	OH_OO渋谷源氏	6360	6390	I	まじき	まじ	マジ	助動詞	文語助動詞-マジ	連体形-一般	マジキ	和
04.02夕顔	OH_OO渋谷源氏	6390	6400	I	を	を	ヲ	助詞-格助詞			オ	和
04.02夕顔	OH_OO渋谷源氏	6400	6410	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6410	6440	I	まして	況して	マシテ	副詞			マシテ	和
04.02夕顔	OH_OO渋谷源氏	6440	6450	I	，	，		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6450	6460	I	似	似る	ニル	動詞-一般	文語上一段-ナ行	連用形-一般	ニ	和
04.02夕顔	OH_OO渋谷源氏	6460	6470	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
04.02夕顔	OH_OO渋谷源氏	6470	6490	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
04.02夕顔	OH_OO渋谷源氏	6490	6510	I	こと	事	コト	名詞-普通名詞-一般			コト	和
04.02夕顔	OH_OO渋谷源氏	6510	6520	I	に	に	ニ	助詞-格助詞			ニ	和
04.02夕顔	OH_OO渋谷源氏	6520	6540	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
04.02夕顔	OH_OO渋谷源氏	6540	6550	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	6550	6560	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6560	6590	I	今さら	今更	イマサラ	形状詞-一般			イマサラ	和
04.02夕顔	OH_OO渋谷源氏	6590	6600	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
04.02夕顔	OH_OO渋谷源氏	6600	6650	I	見苦しかる	見苦しい	ミグルシイ	形容詞-一般	文語形容詞-シク	連体形-補助	ミグルシカル	和
04.02夕顔	OH_OO渋谷源氏	6650	6670	I	べし	べし	ベシ	助動詞	文語助動詞-ベシ	終止形-一般	ベシ	和
04.02夕顔	OH_OO渋谷源氏	6670	6680	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6680	6690	I	と	と	ト	助詞-格助詞			ト	和
04.02夕顔	OH_OO渋谷源氏	6690	6710	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
04.02夕顔	OH_OO渋谷源氏	6710	6730	I	離れ	離れる	ハナレル	動詞-一般	文語下二段-ラ行	連用形-一般	ハナレ	和
04.02夕顔	OH_OO渋谷源氏	6730	6750	I	たり	たり	タリ	助動詞	文語助動詞-タリ-完了	終止形-一般	タリ	和
04.02夕顔	OH_OO渋谷源氏	6750	6760	I	。	。		補助記号-句点				記号
04.02夕顔	OH_OO渋谷源氏	6760	6790	B	さすが	流石	サスガ	形状詞-一般			サスガ	和
04.02夕顔	OH_OO渋谷源氏	6790	6800	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
04.02夕顔	OH_OO渋谷源氏	6800	6810	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6810	6830	I	絶え	絶える	タエル	動詞-一般	文語下二段-ヤ行	連用形-一般	タエ	和
04.02夕顔	OH_OO渋谷源氏	6830	6840	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	6840	6870	I	思ほし	思ほす	オモホス	動詞-一般	文語四段-サ行	連用形-一般	オモホシ	和
04.02夕顔	OH_OO渋谷源氏	6870	6890	I	忘れ	忘れる	ワスレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	ワスレ	和
04.02夕顔	OH_OO渋谷源氏	6890	6900	I	な	ぬ	ヌ	助動詞	文語助動詞-ヌ	未然形-一般	ナ	和
04.02夕顔	OH_OO渋谷源氏	6900	6910	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
04.02夕顔	OH_OO渋谷源氏	6910	6930	I	こと	事	コト	名詞-普通名詞-一般			コト	和
04.02夕顔	OH_OO渋谷源氏	6930	6940	I	も	も	モ	助詞-係助詞			モ	和
04.02夕顔	OH_OO渋谷源氏	6940	6950	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	6950	6970	I	いと	いと	イト	副詞			イト	和
04.02夕顔	OH_OO渋谷源氏	6970	6990	I	言ふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
04.02夕顔	OH_OO渋谷源氏	6990	7010	I	かひ	甲斐	カイ	名詞-普通名詞-一般			カイ	和
04.02夕顔	OH_OO渋谷源氏	7010	7030	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
04.02夕顔	OH_OO渋谷源氏	7030	7040	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7040	7070	I	憂かる	憂い	ウイ	形容詞-一般	文語形容詞-ク	連体形-補助	ウカル	和
04.02夕顔	OH_OO渋谷源氏	7070	7090	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
04.02夕顔	OH_OO渋谷源氏	7090	7110	I	こと	事	コト	名詞-普通名詞-一般			コト	和
04.02夕顔	OH_OO渋谷源氏	7110	7120	I	に	に	ニ	助詞-格助詞			ニ	和
04.02夕顔	OH_OO渋谷源氏	7120	7140	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
04.02夕顔	OH_OO渋谷源氏	7140	7150	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	7150	7160	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7160	7180	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
04.02夕顔	OH_OO渋谷源氏	7180	7200	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
04.02夕顔	OH_OO渋谷源氏	7200	7220	I	折々	折々	オリオリ	名詞-普通名詞-副詞可能			オリオリ	和
04.02夕顔	OH_OO渋谷源氏	7220	7230	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	7230	7240	I	御	御	オオン	接頭辞			オオン	和
04.02夕顔	OH_OO渋谷源氏	7240	7260	I	答へ	応え	イラエ	名詞-普通名詞-一般			イラエ	和
04.02夕顔	OH_OO渋谷源氏	7260	7280	I	など	など	ナド	助詞-副助詞			ナド	和
04.02夕顔	OH_OO渋谷源氏	7280	7290	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7290	7340	I	なつかしく	懐かしい	ナツカシイ	形容詞-一般	文語形容詞-シク	連用形-一般	ナツカシク	和
04.02夕顔	OH_OO渋谷源氏	7340	7370	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
04.02夕顔	OH_OO渋谷源氏	7370	7390	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
04.02夕顔	OH_OO渋谷源氏	7390	7400	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7400	7410	I	な	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	語幹-一般	ナ	和
04.02夕顔	OH_OO渋谷源氏	7410	7420	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
04.02夕顔	OH_OO渋谷源氏	7420	7430	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	7430	7470	I	筆づかひ	筆遣い	フデヅカイ	名詞-普通名詞-一般			フデズカイ	和
04.02夕顔	OH_OO渋谷源氏	7470	7480	I	に	に	ニ	助詞-格助詞			ニ	和
04.02夕顔	OH_OO渋谷源氏	7480	7500	I	つけ	付ける	ツケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	ツケ	和
04.02夕顔	OH_OO渋谷源氏	7500	7520	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
04.02夕顔	OH_OO渋谷源氏	7520	7550	I	言の葉	言の葉	コトノハ	名詞-普通名詞-一般			コトノハ	和
04.02夕顔	OH_OO渋谷源氏	7550	7560	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7560	7600	I	あやしく	怪しい	アヤシイ	形容詞-一般	文語形容詞-シク	連用形-一般	アヤシク	和
04.02夕顔	OH_OO渋谷源氏	7600	7630	I	らうた	ろうたい	ロウタイ	形容詞-一般	文語形容詞-ク	語幹-一般	ロータ	和
04.02夕顔	OH_OO渋谷源氏	7630	7640	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
04.02夕顔	OH_OO渋谷源氏	7640	7650	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
04.02夕顔	OH_OO渋谷源氏	7650	7660	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7660	7670	I	目	目	メ	名詞-普通名詞-一般			メ	和
04.02夕顔	OH_OO渋谷源氏	7670	7700	I	とまる	止まる	トマル	動詞-一般	文語四段-ラ行	終止形-一般	トマル	和
04.02夕顔	OH_OO渋谷源氏	7700	7720	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
04.02夕顔	OH_OO渋谷源氏	7720	7740	I	ふし	節	フシ	名詞-普通名詞-一般			フシ	和
04.02夕顔	OH_OO渋谷源氏	7740	7760	I	加へ	加える	クワエル	動詞-一般	文語下二段-ハ行	連用形-一般	クワエ	和
04.02夕顔	OH_OO渋谷源氏	7760	7780	I	など	など	ナド	助詞-副助詞			ナド	和
04.02夕顔	OH_OO渋谷源氏	7780	7790	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
04.02夕顔	OH_OO渋谷源氏	7790	7800	I	て	て	テ	助詞-接続助詞			テ	和
04.02夕顔	OH_OO渋谷源氏	7800	7810	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7810	7840	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
04.02夕顔	OH_OO渋谷源氏	7840	7850	I	と	と	ト	助詞-格助詞			ト	和
04.02夕顔	OH_OO渋谷源氏	7850	7870	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
04.02夕顔	OH_OO渋谷源氏	7870	7880	I	ぬ	ぬ	ヌ	助動詞	文語助動詞-ヌ	終止形-一般	ヌ	和
04.02夕顔	OH_OO渋谷源氏	7880	7900	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
04.02夕顔	OH_OO渋谷源氏	7900	7910	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
04.02夕顔	OH_OO渋谷源氏	7910	7920	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	7920	7950	I	けはひ	気配	ケハイ	名詞-普通名詞-一般			ケワイ	和
04.02夕顔	OH_OO渋谷源氏	7950	7970	I	なれ	なり	ナリ	助動詞	文語助動詞-ナリ-断定	已然形-一般	ナレ	和
04.02夕顔	OH_OO渋谷源氏	7970	7980	I	ば	ば	バ	助詞-接続助詞			バ	和
04.02夕顔	OH_OO渋谷源氏	7980	7990	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	7990	8030	I	つれなく	つれない	ツレナイ	形容詞-一般	文語形容詞-ク	連用形-一般	ツレナク	和
04.02夕顔	OH_OO渋谷源氏	8030	8060	I	ねたき	妬い	ネタイ	形容詞-一般	文語形容詞-ク	連体形-一般	ネタキ	和
04.02夕顔	OH_OO渋谷源氏	8060	8080	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
04.02夕顔	OH_OO渋谷源氏	8080	8090	I	の	の	ノ	助詞-格助詞			ノ	和
04.02夕顔	OH_OO渋谷源氏	8090	8100	I	、	、		補助記号-読点				記号
04.02夕顔	OH_OO渋谷源氏	8100	8120	I	忘れ	忘れる	ワスレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	ワスレ	和
04.02夕顔	OH_OO渋谷源氏	8120	8150	I	がたき	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連体形-一般	ガタキ	和
